"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7810","User login test","chromium","2026-07-03","passed","2026-07-03","","Login.spec.ts","",""
"","7681","User registration test","chromium","2026-07-02","passed","2026-07-02","","TestRegistration.spec.ts","",""
